Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
ultrasonic_front_left_side_link,-0.0099054521434353,-0.000360935413968255,-0.000782026730264507,0,0,0,0.0330313597353151,1.28694267013293E-06,-1.46539188336252E-22,-1.25731453108056E-22,1.08244491110523E-06,1.58933500306917E-23,1.02007684167811E-06,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_front_left_side_link.STL,0.792156862745098,0.792156862745098,0.792156862745098,1,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_front_left_side_link.STL,,GY-US42-3,frame_ultrasonic_front_left_side,axis_ultrasonic_front_left_side,ultrasonic_front_left_side_joint,fixed,0.351,0.28753,-0.22418,0,-0.10436,1.5708,base_link,0,0,0,,,,,,,,,,,,
ultrasonic_front_right_link,-0.00990545214343552,0.00036093541396847,-0.000782026730267504,0,0,0,0.0330313597353151,1.28694267013293E-06,6.20762565656672E-24,-4.63221143029695E-23,1.08244491110523E-06,7.04994803944604E-24,1.02007684167811E-06,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_front_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_front_right_link.STL,,MirrorGY-US42-9,frame_ultrasonic_front_right,axis_ultrasonic_front_right,ultrasonic_front_right_joint,fixed,0.44853,-0.17,-0.22418,0,-0.10436,0,base_link,0,0,0,,,,,,,,,,,,
ultrasonic_front_right_mid_link,-0.00990545214343569,0.000360935413968727,-0.000782026730264562,0,0,0,0.033031359735315,1.28694267013293E-06,4.76456032830544E-22,1.65436122510606E-23,1.08244491110522E-06,-2.44845461315696E-22,1.02007684167811E-06,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_front_right_mid_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_front_right_mid_link.STL,,MirrorGY-US42-10,frame_ultrasonic_front_right_mid,axis_ultrasonic_front_right_mid,ultrasonic_front_right_mid_joint,fixed,0.43425,-0.27325,-0.22418,0,-0.10436,-0.7854,base_link,0,0,0,,,,,,,,,,,,
ultrasonic_front_right_side_link,-0.00990545214343669,0.000360935413968089,-0.000782026730264396,0,0,0,0.0330313597353151,1.28694267013294E-06,2.0492332538577E-22,-9.2644228605935E-23,1.08244491110523E-06,-1.53367473204685E-22,1.02007684167811E-06,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_front_right_side_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_front_right_side_link.STL,,MirrorGY-US42-11,frame_ultrasonic_front_right_side,axis_ultrasonic_front_right_side,ultrasonic_front_right_side_joint,fixed,0.351,-0.28753,-0.22418,0,-0.10436,-1.5708,base_link,0,0,0,,,,,,,,,,,,
ultrasonic_rear_left_link,-0.0099054521434353,0.000360935413968311,-0.000782026730264507,0,0,0,0.0330313597353151,1.28694267013293E-06,-8.97285139550002E-23,1.98523347012727E-23,1.08244491110523E-06,-8.25629212311342E-23,1.02007684167811E-06,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_rear_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_rear_left_link.STL,,MirrorGY-US42-12,frame_ultrasonic_rear_left,axis_ultrasonic_rear_left,ultrasonic_rear_left_joint,fixed,-0.43653,0.17,-0.22418,0,-0.10436,3.1416,base_link,0,0,0,,,,,,,,,,,,
ultrasonic_rear_left_mid_link,-0.00990545214343541,0.0003609354139682,-0.000782026730264562,0,0,0,0.0330313597353151,1.28694267013293E-06,1.05879118406788E-22,2.81241408268029E-22,1.08244491110522E-06,-9.69455677912148E-22,1.02007684167811E-06,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_rear_left_mid_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_rear_left_mid_link.STL,,MirrorGY-US42-13,frame_ultrasonic_rear_left_mid,axis_ultrasonic_rear_left_mid,ultrasonic_rear_left_mid_joint,fixed,-0.42225,0.27325,-0.22418,0,-0.10436,2.3562,base_link,0,0,0,,,,,,,,,,,,
ultrasonic_rear_left_side_link,-0.0099054521434353,-0.0003609354139682,-0.000782026730264618,0,0,0,0.0330313597353151,1.28694267013293E-06,8.55285245698956E-23,7.9409338805092E-23,1.08244491110523E-06,-2.09276497044877E-24,1.02007684167811E-06,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_rear_left_side_link.STL,0.792156862745098,0.792156862745098,0.792156862745098,1,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_rear_left_side_link.STL,,GY-US42-6,frame_ultrasonic_rear_left_side,axis_ultrasonic_rear_left_side,ultrasonic_rear_left_side_joint,fixed,-0.339,0.28753,-0.22418,0,-0.10436,1.5708,base_link,0,0,0,,,,,,,,,,,,
ultrasonic_rear_right_link,-0.00990545214343536,-0.000360935413968456,-0.000782026730267504,0,0,0,0.0330313597353151,1.28694267013293E-06,1.12033891972881E-22,-3.30872245021211E-23,1.08244491110523E-06,-4.87772114149499E-23,1.02007684167811E-06,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_rear_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_rear_right_link.STL,,MirrorMirrorGY-US42-14,frame_ultrasonic_rear_right,axis_ultrasonic_rear_right,ultrasonic_rear_right_joint,fixed,-0.43653,-0.17,-0.22418,0,-0.10436,3.1416,base_link,0,0,0,,,,,,,,,,,,
ultrasonic_rear_right_mid_link,-0.00990545214343574,-0.000360935413968699,-0.000782026730264451,0,0,0,0.033031359735315,1.28694267013293E-06,-5.82335151237331E-22,6.28657265540301E-23,1.08244491110522E-06,4.73147310380332E-22,1.02007684167811E-06,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_rear_right_mid_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_rear_right_mid_link.STL,,MirrorMirrorGY-US42-15,frame_ultrasonic_rear_right_mid,axis_ultrasonic_rear_right_mid,ultrasonic_rear_right_mid_joint,fixed,-0.42225,-0.27325,-0.22418,0,-0.10436,-2.3562,base_link,0,0,0,,,,,,,,,,,,
ultrasonic_rear_right_side_link,-0.00990545214343669,0.000360935413968311,-0.000782026730264312,0,0,0,0.033031359735315,1.28694267013293E-06,-3.50091298049347E-22,-9.92616735063566E-23,1.08244491110522E-06,4.59431436487429E-23,1.02007684167811E-06,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_rear_right_side_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://smr200/meshes/ultrasonic_rear_right_side_link.STL,,MirrorGY-US42-14,frame_ultrasonic_rear_right_side,axis_ultrasonic_rear_right_side,ultrasonic_rear_right_side_joint,fixed,-0.339,-0.28753,-0.22418,0,-0.10436,-1.5708,base_link,0,0,0,,,,,,,,,,,,
imu_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://smr200/meshes/imu_link.STL,1,1,1,1,0,0,0,0,0,0,package://smr200/meshes/imu_link.STL,,imu-1,frame_imu,axis_imu,imu_joint,fixed,0,0,-0.0230000000000049,0,0,0,base_link,0,0,0,,,,,,,,,,,,
